Lead_Id,Age,Phone_No,Annual_Income_Bucket,Credit_Score,Country,State,No_Of_Dependents,Highest_Education,Ethnicity,No_Of_Children,Household_Size,Gender,Marital_Status
c966b7d5-ad96-a82f-e460-6d34f06b2715,Middle Age,9243059311,60k-120k,350-700,US,MA,1,College,Latino,0,2,Female,S
ffa55490-d165-54e8-f977-311912e51e3a,Senior Citizen,9518759576,<60k,>700,US,DE,3,Graduate School,white americans,2,1,Female,S
54fa2143-411d-3bde-c12c-a6761436387a,Young,9122002803,<60k,>700,US,FL,1,High School,Latino,1,1,Female,S
5019c131-7813-e07b-8ff0-29563a4735a4,Middle Age,9779439618,>120k,350-700,US,VA,2,College,Latino,1,2,Female,S
50516fe4-d816-ba99-dbb1-ba25c2ddb739,Middle Age,9513063887,>120k,>700,US,WY,0,Attended Vocational,white americans,0,1,Female,S
109b986c-c25a-a245-39ca-332e6c57e3b2,Middle Age,9133495615,60k-120k,350-700,US,IL,1,High School,Hispanic,1,2,Female,S
ca8eb70f-0a06-e9a9-a2e8-6fdf0bbdd8b9,Young,9967413523,<60k,<350,US,KS,1,College,Latino,1,1,Female,S
8f10ba56-7311-842a-fa1d-277509d11519,Middle Age,9071203506,60k-120k,350-700,US,OK,2,Graduate School,Hispanic,0,1,Female,S
cbe68f3f-b28f-dc1f-836d-59d5faaa955b,Middle Age,9501038995,>120k,350-700,US,OH,0,Attended Vocational,african american,0,1,Female,S
daec629a-3306-927b-677d-15cdec795f5d,Young,9615945351,60k-120k,350-700,US,OK,2,Graduate School,Hispanic,2,2,Female,S
75063c56-6bd8-102d-114d-707129544df8,Young,9760355029,60k-120k,<350,US,MH,2,Graduate School,white americans,0,3,Female,S
facebbd2-9899-4ca9-0937-41b7d718eaac,Young,9221447568,<60k,<350,US,GA,2,High School,white americans,1,1,Female,S
a959b5a3-836a-f1ac-4d3c-95e769707a46,Middle Age,9724440041,60k-120k,350-700,US,AZ,3,Attended Vocational,white americans,1,1,Female,S
2ddaefdf-7a55-047c-1895-40eaa73896bf,Young,9357067865,60k-120k,350-700,US,IL,2,College,Latino,1,2,Female,S
345f7292-594e-4f96-e75a-ca07e7461805,Middle Age,9686693886,<60k,350-700,US,MD,3,High School,Latino,2,3,Female,S
8ce53252-4c83-e5dd-5354-ba1ab94f485d,Middle Age,9519058462,>120k,350-700,US,IA,3,High School,white americans,1,2,Female,S
8c95bd9a-a30f-5450-0de3-08464c7d15ee,Senior Citizen,9384924608,60k-120k,>700,US,NY,3,High School,white americans,2,3,Female,S
443bc8b0-c2cf-90c7-1ad3-bc0bb3005c26,Middle Age,9294250775,<60k,<350,US,OH,0,Graduate School,Hispanic,0,1,Female,S
9076195f-9698-57ea-5de2-007d93024e78,Middle Age,9170754789,>120k,350-700,US,MS,1,College,Latino,0,1,Female,S
35a6240e-5513-b5c9-a0d3-0f5c3c80cb2c,Middle Age,9399565803,60k-120k,350-700,US,US,1,College,african american,1,1,Female,S
40b018c7-1b2c-8376-bf2d-ebf9dbdcc178,Young,9063065898,60k-120k,>700,US,SC,0,High School,Latino,0,1,Female,S
8d063fdf-3fe3-a0f6-8718-c71dd1d687c5,Middle Age,9246294367,60k-120k,350-700,US,CO,1,Graduate School,Latino,0,2,Female,S
1700ffb5-9fad-39d6-557b-fa5cf3b04284,Senior Citizen,9926251194,60k-120k,>700,US,DE,2,High School,african american,1,1,Female,S
9db0174f-adca-108c-fa85-4486406a3eb1,Young,9981535432,>120k,<350,US,RI,2,College,white americans,2,1,Female,S
a5503eb6-3f6f-6299-d793-9338253a6bab,Middle Age,9352764406,60k-120k,>700,US,IA,2,High School,Hispanic,1,3,Female,S
30fef738-deac-9cf2-64f3-6ab232bd5fb9,Young,9281378536,60k-120k,>700,US,PA,1,College,Latino,1,2,Female,S
ee082c25-6104-fa63-427e-4f31aee266c0,Middle Age,9775082021,>120k,350-700,US,DE,3,Attended Vocational,african american,2,2,Female,S
97b8df0d-1388-7b2c-fdd1-a7418c360f8f,Young,9368539922,<60k,<350,US,CT,2,Graduate School,Latino,0,2,Female,S
ac8733a4-fddc-62a2-4961-c0dea4acc330,Middle Age,9737540720,<60k,350-700,US,ME,0,Graduate School,Latino,0,1,Female,S
f8ed6155-5458-30b5-b094-3ce015061a5f,Middle Age,9323361535,60k-120k,<350,US,ID,3,Graduate School,Latino,3,4,Female,S
4f74b1bf-5ea9-251a-3995-8d91a94918de,Young,9422761739,>120k,>700,US,PA,1,College,african american,0,1,Female,S
96de605a-8b1a-ee00-f7f2-71b6e3cd6686,Senior Citizen,9651109453,<60k,<350,US,MA,1,Graduate School,white americans,1,1,Female,S
eb89c564-7014-33c2-f7f8-168c00dc6516,Senior Citizen,9701171296,<60k,<350,US,WY,1,High School,Latino,0,2,Female,S
69c61472-19b1-7b9e-869b-154dc533d566,Senior Citizen,9795117392,60k-120k,<350,US,RI,0,Attended Vocational,Hispanic,0,1,Female,S
ea2b06c6-2827-eabc-3ff2-2b479fa018ef,Young,9351873803,>120k,350-700,US,WA,0,High School,white americans,0,1,Female,S
fe0d733d-aa6c-2965-b456-605899be0022,Middle Age,9655728341,<60k,<350,US,MN,0,Attended Vocational,Latino,0,1,Female,S
6034cd19-3521-c8af-f015-eb8c8c1b8603,Middle Age,9425391130,>120k,>700,US,OK,1,Attended Vocational,white americans,1,1,Female,S
b0b6849f-38fb-2db2-662d-835415649503,Middle Age,9759976711,60k-120k,<350,US,HI,2,High School,Hispanic,1,2,Female,S
4c7a6717-7fe3-e3d9-34be-655c4b2d9592,Senior Citizen,9753905047,60k-120k,>700,US,WV,3,College,african american,3,2,Female,S
9cbd6b4f-38a1-9d5f-0298-a96abfae3819,Young,9351654611,60k-120k,>700,US,NH,1,College,white americans,0,2,Female,S
fc6227d0-0eb7-a43c-c8f8-628ec2a2406b,Middle Age,9295599817,>120k,>700,US,CO,0,High School,african american,0,1,Female,S
225ac1e1-72a5-3c4d-3ae5-5fa89f5baec3,Senior Citizen,9626197599,>120k,350-700,US,KS,1,High School,white americans,0,1,Female,S
9e1fe67f-d6f5-ca23-e059-3d6a0f84956e,Senior Citizen,9782164122,<60k,350-700,US,ME,3,High School,Hispanic,2,3,Female,S
2fad2d9f-4a31-eea5-d52c-095e87a119f0,Middle Age,9346686864,<60k,>700,US,MO,2,Attended Vocational,Latino,1,1,Female,S
45257f4e-25a1-ccd7-781b-c08586d184c7,Young,9245932468,<60k,>700,US,CT,0,High School,Hispanic,0,1,Female,S
fc626fdc-a283-f6dd-24e0-60710cca8aff,Middle Age,9334134827,>120k,>700,US,AR,2,High School,Latino,2,2,Female,S
42f563e6-eed5-c764-1927-0f595a4e7cb9,Middle Age,9429655078,60k-120k,350-700,US,UT,2,College,african american,0,2,Female,S
0fd26d70-5bff-cf05-54a4-161df9b05a0b,Young,9000191967,60k-120k,<350,US,SD,0,College,white americans,0,1,Female,S
74c8a478-1969-4bb2-3c54-6483fa194bc7,Senior Citizen,9707831358,>120k,<350,US,PR,2,Graduate School,Hispanic,1,2,Female,S
565b78e2-e126-f8fd-5858-730af05cb2e7,Young,9139092933,60k-120k,>700,US,PR,3,Attended Vocational,Latino,2,3,Female,S
f8918816-aa96-34ed-5953-5d5d95259867,Young,9985376975,<60k,>700,US,MA,0,Graduate School,white americans,0,1,Female,S
d1ad5e36-b011-5cac-39b1-b88e4d9d2a05,Young,9930427579,>120k,>700,US,LA,1,College,Hispanic,0,2,Female,S
0f02e498-e9fe-7ab7-8a5a-4e9e770b8e99,Senior Citizen,9840582010,60k-120k,350-700,US,IN,0,College,Latino,0,1,Female,S
945ff7d8-0cbf-7195-00d4-88b1aeb710ff,Senior Citizen,9857064884,60k-120k,<350,US,GU,0,High School,Hispanic,0,1,Female,S
7ba188a2-594e-0a8a-8cf5-d52995ef34e8,Middle Age,9146777709,60k-120k,>700,US,ME,3,College,white americans,3,2,Female,S
ef5c8cf4-0eb1-3504-8dca-2d27b70e0b83,Young,9627107855,60k-120k,<350,US,AL,2,College,Latino,1,3,Female,S
7615bb7b-ee2e-5188-81fe-fec79a57689e,Young,9977301437,60k-120k,<350,US,MA,1,Attended Vocational,Hispanic,1,1,Female,S
1e9e63e6-fd26-1a45-1831-a92c7aabeecc,Senior Citizen,9254658436,60k-120k,350-700,US,WI,2,College,Hispanic,0,3,Female,S
1462e9d4-3bc6-d2a5-78b2-778933a068b3,Young,9061670887,60k-120k,<350,US,OK,3,College,Latino,0,3,Female,S
04cddad7-a47a-707a-1d86-88bcf308175c,Middle Age,9393500890,60k-120k,<350,US,MP,3,High School,Latino,2,2,Female,S
ab2f4790-a615-6815-67bc-b773622125b4,Middle Age,9823766371,60k-120k,<350,US,FL,0,Attended Vocational,white americans,0,1,Female,S
d3eb525b-a3ee-7f14-0f5e-faafdace764a,Middle Age,9461651993,>120k,>700,US,WA,0,Graduate School,Hispanic,0,1,Female,S
5da076f1-7cd2-e483-0b09-8c77692a80b1,Young,9896475887,60k-120k,350-700,US,US,3,High School,white americans,2,2,Female,S
8bee4cec-18aa-3488-6709-9a3de86f6d24,Senior Citizen,9622943127,>120k,>700,US,AZ,0,Attended Vocational,african american,0,1,Female,S
c8b7a98d-1772-57d7-3951-ec6a371a9d8d,Middle Age,9765367926,<60k,>700,US,KY,3,College,african american,0,2,Female,S
2c1ebef3-a559-1924-44f1-a5493f8d0350,Young,9560392312,60k-120k,>700,US,DC,0,College,Hispanic,0,1,Female,S
0747eb5b-7725-174b-ab50-cb0650032539,Young,9942092183,60k-120k,350-700,US,MN,0,Attended Vocational,african american,0,1,Female,S
9251d970-67b2-e3c9-eda5-e25fcb12fa7b,Young,9008297471,60k-120k,350-700,US,US,1,Attended Vocational,white americans,1,2,Female,S
c0a8b47e-640c-23d8-388d-6446f5cb86ed,Young,9316457636,60k-120k,350-700,US,NE,2,Graduate School,white americans,0,3,Female,S
9947837a-9a5b-c12a-1e26-48ba5ac93a75,Senior Citizen,9816227280,>120k,<350,US,MT,2,College,Latino,1,3,Female,S
dabc3f08-283c-d5d7-b114-9f566f53b72c,Middle Age,9111557356,60k-120k,<350,US,GA,1,High School,Hispanic,0,1,Female,S
7c35c883-a46e-1a09-925c-b2b23484f17c,Young,9874100566,60k-120k,350-700,US,CT,2,Graduate School,white americans,1,2,Female,S
cbd0b73d-32d2-3db5-d6d3-a014a743a16d,Young,9425521401,<60k,>700,US,MT,2,High School,Latino,1,3,Female,S
57a75984-884f-4346-85fc-824cf63feb8a,Middle Age,9120465194,60k-120k,<350,US,WV,1,College,african american,1,2,Female,S
f5c564dc-1215-d854-a9ec-78da79e07958,Young,9626802407,>120k,<350,US,WI,0,College,Hispanic,0,1,Female,S
d8333f61-9e3d-bbad-d161-645ec3b0dca5,Young,9317552052,60k-120k,<350,US,PR,3,High School,Latino,1,3,Female,S
5edac577-c14c-38a3-ec6a-60fe25a609e4,Middle Age,9840749280,<60k,<350,US,NV,3,Graduate School,Hispanic,1,1,Female,S
6b001283-7540-10b2-facf-5a3314cfabb8,Middle Age,9276268515,60k-120k,350-700,US,PR,1,High School,Hispanic,0,1,Female,S
3f1d9460-8b22-945f-78e5-63a1ee375f73,Young,9259670942,60k-120k,<350,US,KY,2,Graduate School,white americans,1,3,Female,S
83e14f83-e2b2-885a-fff7-e50266005240,Middle Age,9823864948,<60k,350-700,US,FL,1,Graduate School,white americans,0,1,Female,S
6eefe27b-f000-ffe1-524c-e11e2e61e1a4,Middle Age,9930782560,>120k,>700,US,MA,2,College,african american,1,2,Female,S
baa02f16-09f1-0304-8e83-c7d92a9ec1d8,Middle Age,9452772310,>120k,<350,US,WV,3,Attended Vocational,Hispanic,2,1,Female,S
16282491-3f51-2a92-15fe-b0a56b5a67dc,Middle Age,9263812468,>120k,>700,US,NM,0,Attended Vocational,Latino,0,1,Female,S
7298eccd-3560-a393-1271-dfe22ad35695,Young,9555490164,60k-120k,<350,US,NJ,1,Attended Vocational,african american,0,1,Female,S
fd76e502-69a2-3076-632f-07cab0621ddc,Young,9090676451,60k-120k,<350,US,MI,0,Attended Vocational,african american,0,1,Female,S
2301d682-1a0f-4315-fc67-6fa6f31431d4,Senior Citizen,9351645908,60k-120k,<350,US,MA,1,Attended Vocational,Hispanic,1,2,Female,S
acb9270a-49d2-fbc7-291c-b221b427ada5,Senior Citizen,9070841483,60k-120k,350-700,US,MN,1,High School,african american,0,2,Female,S
cc2c6bd3-f76e-6bd0-2415-8a5e7c48f693,Middle Age,9013069576,<60k,350-700,US,AZ,0,College,Latino,0,1,Female,S
5f23fb27-33ff-e666-dda5-eff9f2f253d6,Middle Age,9986382347,60k-120k,350-700,US,RI,2,College,Hispanic,1,3,Female,S
1ccb3561-d27b-97da-66f8-3d87ea447603,Young,9255807087,>120k,<350,US,OH,0,College,white americans,0,1,Female,S
980c677a-731d-4623-e5fb-abeb57b2c72e,Young,9317243943,<60k,<350,US,NE,1,College,Hispanic,1,2,Female,S
f135dbab-5a9c-3c53-4b61-6a38f3d69fe7,Young,9254018700,<60k,>700,US,MI,3,College,Hispanic,2,3,Female,S
567e6511-3fd9-a87d-b00b-2b3f533a4570,Middle Age,9654080665,<60k,350-700,US,CA,3,College,african american,2,1,Female,S
28745369-597b-53c3-112d-8b0deea0179c,Senior Citizen,9643764646,>120k,>700,US,NH,2,College,african american,1,2,Female,S
0b7e9b62-62c6-5d57-9a8f-8f948394e73d,Middle Age,9953689164,>120k,>700,US,MO,1,College,Latino,1,1,Female,S
9d9c5217-d194-f12d-6462-5f6851370c5f,Middle Age,9632747876,<60k,350-700,US,TX,0,Graduate School,Latino,0,1,Female,S
5daabaf6-f34d-5f95-c972-9e04ac6fc10c,Middle Age,9542544967,60k-120k,<350,US,NV,1,Graduate School,white americans,0,1,Female,S
f04c3419-a328-e877-e96e-ac8bf41149f1,Young,9009479951,>120k,350-700,US,DE,2,High School,african american,1,3,Female,S
0d339a9d-4f7c-5472-6032-85f140ec6e2e,Young,9501796082,60k-120k,>700,US,PA,1,Graduate School,white americans,1,1,Female,S
bab1fd87-0ca3-aef2-958c-c7f16f946ec1,Middle Age,9407124989,60k-120k,>700,US,VI,2,High School,Hispanic,2,2,Female,S
c5620ea1-2a35-90a8-0283-d35d4d240229,Middle Age,9987064292,>120k,>700,US,MS,1,High School,Hispanic,1,2,Female,S
d3a7ce4a-d200-bf24-a9d0-2074ea4f0fb0,Middle Age,9419013903,60k-120k,>700,US,OH,2,College,Latino,1,2,Female,S
fe29e93d-e5b8-e847-9f23-cf8e9b90ad89,Young,9168906092,60k-120k,350-700,US,SD,1,Graduate School,african american,1,2,Female,S
08c3e250-a5d4-4f72-6ef6-e35f6d1da4a9,Senior Citizen,9684648023,>120k,<350,US,NH,2,High School,Hispanic,1,1,Female,S
34970636-f32b-4b6b-3018-ac32346965d1,Middle Age,9628870831,60k-120k,>700,US,AL,3,Graduate School,Latino,2,4,Female,S
e0a26562-058a-4399-0659-62f8c028b48e,Middle Age,9612001350,60k-120k,350-700,US,MI,0,Attended Vocational,african american,0,1,Female,S
24ccc5a7-fcc0-3316-27b3-cf347253d0b5,Middle Age,9458107918,>120k,>700,US,MO,3,High School,african american,2,3,Female,S
4f615e04-da84-ae85-d3ce-fb41d03c513d,Middle Age,9285048611,60k-120k,350-700,US,CA,3,Graduate School,Latino,0,3,Female,S
498c5f98-5b9e-2efe-fe51-b97c2fe354ca,Young,9705141973,>120k,>700,US,NH,0,College,white americans,0,1,Female,S
a835945a-ae5b-f67d-4733-c7be13ae9edf,Young,9912425759,<60k,<350,US,OH,3,Attended Vocational,african american,0,1,Female,S
a4f28197-d9b2-5510-3af7-3eacf7cfd06a,Middle Age,9062470220,<60k,350-700,US,LA,2,Graduate School,Hispanic,1,1,Female,S
c74cb2ac-b8e5-2988-2ef3-063122f82dd1,Senior Citizen,9456223543,<60k,>700,US,KY,1,Graduate School,Latino,1,2,Female,S
42c3ed4b-e1ad-5788-1ef9-5bdbbfab0c0b,Middle Age,9994131163,<60k,<350,US,NC,3,Graduate School,Latino,3,2,Female,S
60590edd-a990-28cc-3e3a-9705c6a38126,Middle Age,9951171335,60k-120k,350-700,US,MN,1,College,Hispanic,2,3,Female,S
2cd2511c-c9d8-27ec-7af6-c3b7a553287b,Young,9317189717,60k-120k,350-700,US,ID,2,Graduate School,Hispanic,1,3,Female,S
64ff7a61-aa05-5551-e1fc-f3ec6498c16a,Middle Age,9707189001,<60k,350-700,US,FL,1,Attended Vocational,Hispanic,0,1,Female,S
dff57098-782c-eef2-9d8e-e5e25c913754,Middle Age,9126133810,>120k,>700,US,AR,2,Graduate School,african american,0,1,Female,S
9cd1f639-dc6b-b232-135d-6b60402d424e,Young,9945311206,>120k,>700,US,MO,0,Attended Vocational,white americans,0,1,Female,S
e2e69440-6a84-4301-0c35-76627e78c931,Senior Citizen,9136826647,>120k,<350,US,OR,3,Graduate School,Latino,0,3,Female,S
f8f5ff7f-6321-4a1b-4691-4e239211bba3,Middle Age,9877656716,>120k,<350,US,ND,2,Attended Vocational,Latino,1,1,Female,S
c238ca1d-fcc2-ce56-d87f-addbcb945845,Middle Age,9120447505,>120k,350-700,US,MH,1,Attended Vocational,white americans,0,2,Female,S
6135b528-85c2-b0c9-e2cc-c8e169a53586,Middle Age,9195643423,60k-120k,>700,US,NC,0,Attended Vocational,Hispanic,0,1,Female,S
e575511d-cc85-1d35-1d8b-b2b4dd37fe8f,Middle Age,9463903882,60k-120k,350-700,US,CT,2,Attended Vocational,african american,1,2,Female,S
03241100-d517-7075-2661-0ee65e32375b,Young,9522439164,>120k,350-700,US,SC,1,Graduate School,african american,0,2,Female,S
656ca6a3-e19a-b284-bd5a-aeb6e3f84048,Middle Age,9422401326,<60k,<350,US,NM,2,Graduate School,white americans,2,3,Female,S
3ead2b31-3c82-b7ad-7b17-22e78ac54898,Young,9767957408,60k-120k,350-700,US,UM,3,Attended Vocational,white americans,0,3,Female,S
36243d21-d99f-325e-3d01-3184d70a3c6e,Middle Age,9417151183,60k-120k,<350,US,PR,1,Attended Vocational,Hispanic,0,2,Female,S
5887905a-2da5-bdff-3da9-cdc703883940,Middle Age,9788592888,>120k,350-700,US,US,3,Graduate School,Hispanic,2,3,Female,S
38ef4094-f48c-0eb9-1601-efc6058dd245,Middle Age,9724142779,>120k,350-700,US,WI,2,College,african american,2,2,Female,S
c453f900-a010-299f-e7e9-34b000e7a592,Middle Age,9879504765,>120k,350-700,US,MH,2,Graduate School,white americans,2,2,Female,S
6795fde2-8726-9b89-49ba-acfd2ff2f71e,Young,9332073097,<60k,<350,US,UM,0,Graduate School,Hispanic,0,1,Female,S
85fcd7f4-bf9f-a764-1175-38a55b84cb33,Middle Age,9060244405,>120k,<350,US,AZ,0,College,Hispanic,0,1,Female,S
84dcaa34-c546-2084-4ead-25709687c209,Middle Age,9129519021,60k-120k,<350,US,ME,1,Attended Vocational,Hispanic,1,1,Female,S
de880e94-e615-2ece-4192-189608e3ceb0,Middle Age,9934875618,<60k,>700,US,WY,1,College,Latino,0,1,Female,S
d4c00174-959e-9d66-5dfa-099b24898d77,Senior Citizen,9245971181,<60k,>700,US,DE,0,High School,Latino,0,1,Female,S
9985f9d4-adc9-17f0-0107-7908f570bb3b,Middle Age,9011875910,>120k,>700,US,ME,2,Attended Vocational,white americans,1,3,Female,S
26de3baa-7efd-b3b4-d1f9-922db0c0ecb7,Young,9116891294,<60k,>700,US,CT,3,College,Latino,3,4,Female,S
8ac1976d-fdb6-8c40-b26d-4c44d28907d7,Senior Citizen,9036485276,60k-120k,<350,US,NH,0,College,Latino,0,1,Female,S
1a6ba09e-2e24-14f0-3158-b053583ef7c5,Middle Age,9570041000,60k-120k,>700,US,WA,1,College,Hispanic,1,1,Female,S
f9846cbd-31a7-8d34-e44e-6a7cc3f4c169,Senior Citizen,9639011641,>120k,350-700,US,MT,3,College,white americans,1,3,Female,S
823b3fa1-a763-08f8-0cde-36e94ba8a6cf,Young,9605897817,60k-120k,350-700,US,AS,0,Attended Vocational,african american,0,1,Female,S
3604ab58-4ed5-bbbc-42ce-fff89f7a74e6,Senior Citizen,9420868931,60k-120k,350-700,US,VT,1,College,Hispanic,1,2,Female,S
7ea33b80-ebb4-26ce-a38d-857e2aac8a2e,Young,9628024215,<60k,<350,US,MP,2,High School,african american,1,1,Female,S
cdac746e-05ce-430e-83f8-54f9cde113f4,Senior Citizen,9049689013,60k-120k,350-700,US,NJ,2,Attended Vocational,Latino,2,2,Female,S
ce7eb76f-75bf-800b-b1ed-34a3edfc4867,Young,9959488857,<60k,350-700,US,VI,2,Attended Vocational,white americans,1,3,Female,S
